word,count
&nbsp;,14406
के,11171
में,8810
से,8279
और,7844
की,7236
को,6347
ने,5941
एक,5158
का,4162
पर,4055
कर,3608
नहीं,3539
भी,3425
तो,3314
वह,3231
है,3180
है।,2929
कि,2719
ही,2516
हो,2239
मैं,1913
यह,1908
बहुत,1894
हैं।,1869
अपने,1747
था।,1700
क्या,1655
लिए,1626
उसे,1581
कुछ,1537
हुए,1418
0,1405
हैं,1373
रहा,1275
साथ,1224
रही,1217
था,1190
अपनी,1180
फिर,1146
2,1141
उसके,1106
मुझे,1072
थे।,1070
इस,1064
उसने,1056
उस,1055
घर,1052
रहे,1039
{,1021
},1020
जो,1020
तुम,991
जब,974
अब,968
वे,958
थी।,954
पास,950
पानी,917
तक,850
हम,846
"है,",845
तरह,828
कोई,808
सब,803
माँ,800
।,794
बात,794
लेकिन,792
आ,791
न,790
गया,778
करने,771
उन्हें,765
दिन,737
3,724
उसकी,703
मेरे,680
जा,674
करते,670
आप,670
वो,667
वाले,637
5,628
या,625
ये,619
उन्होंने,615
थी,609
सभी,607
पेड़,603
किसी,602
जैसे,597
font-size:,597
font-family:,597
काम,580
4,579
होता,577
जाता,572
ओर,572
ले,558
बाहर,556
गया।,551
उनके,544
नीचे,542
देख,539
मेरी,539
थे,539
पहले,535
बाद,535
सकते,529
वहाँ,520
कहा,511
"हैं,",506
हुआ,505
"कहा,",502
-,494
अपना,493
जी,492
कहा।,490
0;},487
@font-face,487
mso-font-pitch:variable;,487
कभी,484
समय,473
स्कूल,473
बच्चे,457
लगा,457
!,452
ऊपर,452
तब,449
जाती,449
नाम,445
किया,445
हुई,444
वाली,444
होते,440
रंग,436
होती,432
लोग,430
दो,430
दोनों,429
देखा,428
हर,426
सकता,426
सबसे,424
हाथ,422
बार,417
जाते,411
सी,407
आज,401
so-language:,398
यहाँ,395
लगता,394
मैंने,394
कैसे,386
जाने,384
mso-font-charset:0;,383
करती,382
क्यों,382
आवाज़,380
पता,379
उनकी,379
",",379
panose-1:2,372
दोस्त,370
बच्चों,369
कहते,366
जगह,363
दिया,362
हूँ,362
होने,362
उसका,362
दिया।,360
लोगों,359
कई,358
गई,351
है.,351
अच्छा,348
@page,345
पीछे,345
ऐसा,344
सारे,340
"""Calibri"",",338
sans-serif;,338
बना,337
बस,337
ठीक,336
बारे,333
है?,333
आगे,332
सा,328
कहाँ,327
मदद,324
खाने,321
|,318
करना,316
बड़े,316
जंगल,315
"""",315
हवा,315
हूँ।,314
मेरा,313
चल,313
हमें,312
रात,309
इसे,307
11pt;,306
तुम्हें,305
सकती,303
हमारे,303
गाँव,302
दूसरे,300
बड़ा,299
दूर,298
2;,297
हाल,296
भारत,296
खेल,294
लग,293
बड़ी,293
गई।,292
अगर,291
पसंद,291
है!,290
थीं।,289
भर,289
वाला,286
गए,285
छोटे,283
:,281
छोटी,279
दे,278
कहीं,275
.,273
1,272
करता,272
खाना,271
जल्दी,270
लाल,269
Definitions,266
*/,266
/*,266
बिल्ली,265
कौन,263
दादी,263
मन,261
अंदर,260
रहते,260
आया,258
तभी,258
खुश,258
लिये,258
4;,256
अभी,255
बन,254
बनाने,252
देर,251
अच्छी,251
राजा,248
उन,248
&nbsp;&nbsp;,246
ध्यान,246
New,246
क्योंकि,244
सिर,243
mso-generic-font-family:roman;,240
मिल,240
खा,239
दादाजी,239
?,237
दुनिया,236
पापा,235
शुरू,233
लेकर,233
{mso-style-type:export-only;,232
बीच,231
लगा।,231
किया।,230
आम,229
"था,",228
serif;,227
पूछा।,226
आता,225
भाग,225
इसलिए,224
जाना,221
था.,221
सुबह,220
कोशिश,220
ऐसे,220
देखने,220
बैठ,219
ना,217
नानी,215
मुँह,214
कम,214
तरफ़,214
आने,213
इन,213
वापस,213
साल,213
ज़ोर,213
margin:,212
